PCDate,PCTime,MESFOC_nmile,predict_MESFOC_nmile
2022/1/1,0:10:48,74.16220093,74.81296870065047
2022/1/1,0:11:00,75.05195618,72.71784493633166
2022/1/1,0:11:10,73.75244141,69.69485007132141
2022/1/1,0:11:20,74.57139587,76.31216778030347
2022/1/1,0:11:32,75.45919037,76.7720759609488
2022/1/1,0:11:42,75.81864929,76.49036315075563
2022/1/1,0:11:52,74.51784515,75.09014888438952
2022/1/1,0:12:03,75.53768921,75.08285739731426
2022/1/1,0:12:15,75.64302826,75.49547192229275
2022/1/1,0:12:25,76.26178741,71.71804620922796
2022/1/1,0:12:35,76.04436493,70.12530351014152
2022/1/1,0:12:47,75.42753601,74.65159172047078
2022/1/1,0:12:57,75.49118042,70.22307505514257
2022/1/1,0:13:07,75.54133606,73.64639009239698
2022/1/1,0:13:20,75.40708923,74.47143115899877
2022/1/1,0:13:30,75.51338959,74.36054314514917
2022/1/1,0:13:40,75.15995026,74.85323861008438
2022/1/1,0:13:50,74.51610565,74.4623036788189
2022/1/1,0:14:02,76.1869812,80.16070169290248
2022/1/1,0:14:12,75.4125824,75.07181727393434
2022/1/1,0:14:23,75.29005432,74.78789047820041
2022/1/1,0:14:35,74.87403107,74.90293315337956
2022/1/1,0:14:45,73.73667908,79.37633183003884
2022/1/1,0:14:55,74.36506653,74.48026268318785
2022/1/1,0:15:07,74.37876129,69.66218194401628
2022/1/1,0:15:17,74.77742767,78.094451164321
2022/1/1,0:15:27,74.89795685,76.08752047394084
2022/1/1,0:15:37,75.03830719,74.2341181524137
2022/1/1,0:15:49,74.46764374,74.6653968598332
2022/1/1,0:16:00,74.90440369,75.35568585094887
2022/1/1,0:16:10,75.85070801,75.5775590240296
2022/1/1,0:16:22,76.08048248,70.81986446170605
2022/1/1,0:16:32,75.44845581,75.23053006828661
2022/1/1,0:16:42,76.28097534,75.90296364783538
2022/1/1,0:16:54,76.59527588,76.17652141589207
2022/1/1,0:17:04,77.64868927,77.9447551155593
2022/1/1,0:17:15,75.1831665,77.06660560261986
2022/1/1,0:17:27,75.59864044,74.47700711617257
2022/1/1,0:17:37,76.73448181,75.19328133588806
2022/1/1,0:17:47,76.26522827,81.49506020905497
2022/1/1,0:17:57,76.13670349,75.25636201755358
2022/1/1,0:18:09,76.15750885,75.63697684249571
2022/1/1,0:18:19,73.24884033,73.33171768080257
2022/1/1,0:18:29,71.32839203,71.94028260198483
2022/1/1,0:18:42,72.47780609,72.8942075586156
2022/1/1,0:18:52,73.72607422,73.22532854301025
2022/1/1,0:19:02,73.86341858,77.6294522932831
2022/1/1,0:19:14,73.76824188,74.16825138492283
2022/1/1,0:19:24,74.51528931,74.57505744457535
2022/1/1,0:19:34,74.53048706,74.52056990550015
2022/1/1,0:19:44,75.31192017,73.40389742233482
2022/1/1,0:19:56,74.87766266,74.1815143821699
2022/1/1,0:20:07,75.30474854,73.63755791120354
2022/1/1,0:20:17,74.64733124,73.30256599584189
2022/1/1,0:20:29,73.64732361,72.4050519314539
2022/1/1,0:20:39,73.4309082,77.77269002705108
2022/1/1,0:20:49,75.06119537,74.88234315690651
